fileName,script,labels
Ses01F_impro05_M017,this is the only track record that we have and if it's not listed here then it's probably not anywhere.,neu
Ses01F_impro05_F014,"You're kidding me, this is a joke.",ang
Ses01F_impro05_M018,"Once again, I'm really- I'm really sorry.",xxx
Ses01F_impro05_F015,Do you have any idea-- fifty dollars?  That's supposed to replace everything that I have?  Do you understand how much I have packed in there? Not only does it have sentimental value; it can't be replaced like that.  It was incredibly expensive.,ang
Ses01F_impro05_M019,Yes.,neu
Ses01F_impro05_M020,I know.,neu
Ses01F_impro05_F016,We flew in from Paris.  I've been shopping for three weeks.,ang
Ses01F_impro05_M021,"I'm very sorry.  But if you see the sign that's right behind me here, it spells it out really clearly that we are not held liable--",xxx
Ses01F_impro05_F017,I don't care what you're freaking sign says.  Somebody- Somebody needs to replace everything I've got there and give me money for my inconvenience.,ang
Ses01F_impro05_M022,Okay. Calm-,neu
Ses01F_impro05_M023,"Actually, we are not necessarily liable to give you- to even give you this fifty dollars so... it's actually- it's actually really",neu
Ses01F_impro05_F018,Do you understand who my husband is?,ang
Ses01F_impro05_F019,"If you're- if you're- if you're looking for a lawsuit, baby, you've found it.",ang
Ses01F_impro05_M024,"We are actually not even allowed--  you know, like we don't have to give you this fifty dollars.  We don't have to do that.",neu
Ses01F_impro05_F020,Oh-Oh.  It's a gift.  You're-You're helping me out here?,ang
Ses01F_impro05_M025,It's a gift.,neu
Ses01F_impro05_M026,"You know, the airlines can not be held responsible for every bag of luggage that comes through here.",neu
Ses01F_impro05_F021,You are cruising for a bruising.  You are in so much trouble.,ang
Ses01F_impro05_M027,With the amount of--,neu
Ses01F_impro05_F022,Who's in charge?  Who is the president of Jet Blue?,ang
Ses01F_impro05_M028,"Um, actually, I don't know. I don't know. Oh really?",neu
Ses01F_impro05_F023,Because I probably know him.,ang
Ses01F_impro05_F024,Yeah.,ang
Ses01F_impro05_M029,Well then maybe you can just call him and he can give you more money.  But right now all I can do--,neu
Ses01F_impro05_F025,"I don't want money, I want my clothes.",ang
Ses01F_impro05_M030,"Right now all I can do is just give you this fifty dollars, I'm really sorry.",neu
Ses01F_impro05_F026,What's your name?,ang
Ses01F_impro05_M031,Oh.  My name is Sean. Hi.,neu
Ses01F_impro05_F027,Sean.  Great. Do you have a badge number or something?,xxx
Ses01F_impro05_M032,"Badge number?  Uh, no.  You can just take my employee number I guess.",sur
Ses01F_impro05_F028,Okay.  I'll do that.,ang
Ses01F_impro05_M033,Why?  Have I done something wrong?  Have I given you bad service?  I feel like I have done the best I could.,sur
Ses01F_impro05_F029,I don't think you have done everything you could do because I don't have my bag here yet.,ang
Ses01F_impro05_M034,"If you want, you can write a letter.  I can give you the address. Yes.  An angry--",neu
Ses01F_impro05_F030,A letter? I'll make a personal phone call.,ang
Ses01F_impro05_M035,"Or you can make a phone call.  But I think a letter might be a little more-- in my impression, letters have more...",neu
Ses01F_impro06_M000,"I'm sorry, Joy.",sad
Ses01F_impro06_F000,It's okay.,xxx
Ses01F_impro06_M001,Is there anything I can get you?  Do you want me to take care of anything for you or...?,neu
Ses01F_impro06_F001,"No, no, no.",xxx
Ses01F_impro06_M002,...pick up anything?,neu
Ses01F_impro06_F002,No.,sad
Ses01F_impro06_M003,You know you are welcome to stay at my house if you want to just check out for a couple days and hang out.,sad
Ses01F_impro06_F003,That's sweet.,neu
Ses01F_impro06_F004,Thank you.,neu
Ses01F_impro06_F005,I went to see her headstone a week or two ago.,sad
Ses01F_impro06_F006,"I used to go to cemeteries a lot before she died.  I just, you know, I felt like they were urban oasis, you know, there is always this green in the city.",sad
Ses01F_impro06_M004,Hmm.,neu
Ses01F_impro06_F007,So I was like wandering around before.  It takes forever to find her headstone; I always lose it. You know.,sad
Ses01F_impro06_F008,So I was looking at this other one and there was like a piece of candy there and I thought that I would take the candy and put it on her headstone.  And-,sad
Ses01F_impro06_F009,"this woman came up and, you know, it was hers. It was her person that was there.",neu
Ses01F_impro06_M005,Oh.  She was there?,neu
Ses01F_impro06_F010,"Yeah.  And she was like, that's pathetic, I hope you enjoy it.",sad
Ses01F_impro06_F011,"And I, you know, I mean, I said I was sorry and I brought it back to her kind of and I like put it on the ground and she was like, no, it's fine.  She was like, I would rather have her back, honestly.",sad
Ses01F_impro06_M006,Mmhmm.,neu
Ses01F_impro06_F012,"I don't know.  It just, like, I felt so bad because I shouldn't have done it.  I don't know.  Whatever.",sad
Ses01F_impro06_M007,Yeah.,sad
Ses01F_impro06_F013,I don't know.,sad
Ses01F_impro06_M008,How long were you there for?,neu
Ses01F_impro06_F014,At the cemetery?,sad
Ses01F_impro06_M009,Mmhmm.,neu
Ses01F_impro06_F015,couple hours.,sad
Ses01F_impro06_F016,"I brought- I brought Chuck with me. He went to Redlands, yeah, for the day.  We ran through the sprinklers.",neu
Ses01F_impro06_M010,Oh really?,neu
Ses01F_impro06_M011,You ran through the sprinklers in the cemetery?,neu
Ses01F_impro06_F017,It was hot.[LIPSMACK],xxx
Ses01F_impro06_M012,Is it a big cemetery?,neu
Ses01F_impro06_F018,Yeah.  It's huge.  Redlands is an old city so they have lots and lots of stones.,neu
Ses01F_impro06_M013,"Oh, so they're like really old too, really old ones?",neu
Ses01F_impro06_F019,Yeah.,neu
Ses01F_impro06_F020,"It's weird.  Whenever I go back to town, I think of her.  I mean, it's like ... I mean we grew up together and she died when we were twenty one.  And yeah.  She had cancer, she had two brain tumors.",sad
Ses01F_impro06_F021,"My best friend Heather.  She's got a- we have a- we built this like little--  There's a park, Prospect Park.  And there is like a garden section of it that we set up for her.",sad
Ses01F_impro06_F022,She used to have these poetry parties on Memorial Day.,sad
Ses01F_impro06_M014,Mmhmm.,neu
Ses01F_impro06_F023,Umm. Yeah.,sad
Ses01F_impro06_F024,"And the last time before she died, I remember she couldn't really stand, umm...",sad
Ses01F_impro06_F025,"But I mean she could, but it was- so it was kind of sitting at her feet holding her up and she had these poems she had memorized.  And I remember looking up, she had curly red hair and there was this palm tree right behind her and it was like a crown growing right out of her head.  It was cool.",sad
Ses01F_impro06_M015,Mmhmm.,neu
Ses01F_impro06_F026,"Some, I guess.  She memorized this one, John Dunn, it's called, Death Be Not Proud. and-",sad
Ses01F_impro06_M016,So she wrote a lot of poetry?,neu
Ses01F_impro06_F027,"There's another one, I can't remember.",neu
Ses01F_impro06_F028,"I remember, too, when we were--  she died at U.C.L.A.  She had brain surgery and there was not much hope to begin with, but I gave blood for her surgery, her mom and I before, so we dropped her off in the waiting room and then we were giving blood and came back.  And she, in her wheelchair, like can hardly do anything, reciting her poetry for these people like in the waiting room.  All she needs is a God damn audience.  You know?",sad
Ses01F_impro06_M017,Mmhmm.Mmhmm.Mmhmm.,xxx
Ses01F_impro07_M000,Did you get the letter?,exc
Ses01F_impro07_F000,"Yes.  There's a big envelope it says, you're in. I know.",exc
Ses01F_impro07_M001,Yeah. That is so awesome.,exc
Ses01F_impro07_M002,Oh my God. What are you going to do? [LAUGHTER],exc
Ses01F_impro07_F001,So I have to move back to the ghetto but...I know.,xxx
Ses01F_impro07_M003,"Oh-Yeah, I bet you're really excited. Oh.  That's what loans are for?  Right? Exactly.",exc
Ses01F_impro07_F002,"I'm really excited.  Yeah. I don't know how I'm going to pay for anything, but... I also- Yeah.  Loans, too, yeah. I applied, though, for a bunch of grants and scholarships so I'm still waiting to hear on that.",exc
Ses01F_impro07_M004,"Oh.  Good, good.  That's awesome. Are you going to stay around here?  Or are you going to like get a different neighborhood- you going to move to a different neighborhood?",exc
Ses01F_impro07_F003,"Oh- I know, I know, I know, I know.",exc
Ses01F_impro07_F004,"I don't know.  I spend so much time commuting as it is, I'd rather.",exc
Ses01F_impro07_M005,This is so- I am so happy that you're going to stay.  You're not going to...We should totally throw a party.,exc
Ses01F_impro07_F005,I know. We should throw a party.,exc
Ses01F_impro07_F006,"At Arapaho we could afford that. [GARBAGE]. Yeah.  So what are you doing this summer, though?  You're staying around, too, yeah?",xxx
Ses01F_impro07_M006,A rapper party ho. Yeah. Okay.,exc
Ses01F_impro07_M007,"I am just- Yeah.  I'm sticking around, I'm just doing my thing.  I'm living here.  I'm so glad you're going to stay, I'm so glad you're going to be here. Yeah. Woo.",exc
Ses01F_impro07_F007,It's a relief too. I mean I was thinking I was going to have to pack up all of my stuff but yeah. Hooray for U.S.C.,xxx
Ses01F_impro07_M008,Yeah.  Big time.,exc
Ses01F_impro07_M009,Mmhmm. Mmhmm. Yay. So what major?  What are you doing?,exc
Ses01F_impro07_F008,"Umm. It's...It's uhh...It's Critical Studies. It's a really prestigious program, so they say.",xxx
Ses01F_impro07_M010,"Oh, okay.",xxx
Ses01F_impro07_M011,Ooh. Fancy.,xxx
Ses01F_impro07_F009,Yeah.  I'm not sure.,exc
Ses01F_impro07_M012,Is this a Masters or a P.h.D.?  Or can you...? Nice,neu
Ses01F_impro07_F010,Umm...P.h.D. [LAUGHTER],exc
Ses01F_impro07_M013,"That's good.  Don't you have to like teach a class, too, when you do that?",neu
Ses01F_impro07_F011,"Um, yeah, yeah.  I'm a TA for two sessions. Mmhmm.",xxx
Ses01F_impro07_M014,"Teacher. Mrs. Nash, I have a question.",exc
Ses01F_impro07_F012,So I get to mold young minds. Mrs.?  That's my mother.,exc
Ses01F_impro07_M015,You have to get married.  Well you are married to Chuck.  You're Mrs. Nash.  Not to be confused with Mrs. Dash which is the popular seasoning.,exc
Ses01F_impro07_F013,"I would be like- Oh. Right, right, right.",exc
Ses01F_impro07_M016,"Mrs. Nash.  That's so awesome, though.",xxx
Ses01F_impro07_F014,"Yeah. Yeah I'm excited. Hooray.  And then I'll be a millionaire once I graduate, you understand? Because that's the way it works.",xxx
Ses01F_impro07_M017,Yay...School's fun.,exc
Ses01F_impro07_M018,"Of course, right.  That's where the real money is, being a student.",neu
Ses01F_impro07_F015,Yeah.  Totally. [LAUGHTER],xxx
Ses01F_impro07_M019,That's how you get the big bucks.  Are you messing with the chair? Don't ruin it.,hap
Ses01F_impro07_F016,"I know. I made such a mess of it, the entire time.  The last three things I've done, I've ruined everything, I think. Mm-hmm.  Yeah.",exc
Ses01F_script01_1_F000,What's he going to say?,fru
Ses01F_script01_1_F001,Maybe we should tell him before he sees it.,xxx
Ses01F_script01_1_M000,He saw it.,neu
Ses01F_script01_1_F002,How could he see it?  I was the first one up; he was still in bed.,sur
Ses01F_script01_1_M001,He was out here when it broke.,neu
Ses01F_script01_1_F003,When?,xxx
Ses01F_script01_1_M002,Four o clock this morning.  I heard a crack and I woke up and looked out.  He was standing right over there when it cracked.,neu
Ses01F_script01_1_F004,What was he doing out here at four o clock in the morning?,xxx
Ses01F_script01_1_M003,I don't know.,neu
Ses01F_script01_1_F005,"He's dreaming of him again, walking around.",neu
Ses01F_script01_1_M004,I guess he is.,neu
Ses01F_script01_1_F006,It's getting to be just like after he died.  What's the meaning of that?,xxx
Ses01F_script01_1_M005,"I don't know the meaning of it.  But I know one thing, Mom, you've made a terrible mistake with father.",fru
Ses01F_script01_1_F007,What?,xxx
Ses01F_script01_1_M006,"Being dishonest with him, you know.  This kind of thing always pays off and it's paying off.",xxx
Ses01F_script01_1_F008,What do you mean dishonest?,xxx
Ses01F_script01_1_M007,You know Larry is not coming back and I know it.  Why do we allow him to go on thinking that we believe with him?,neu
Ses01F_script01_1_F009,What do you want to do?  Argue with him?,fru
Ses01F_script01_1_M008,I don't want to argue but it's time he realized that nobody believes Larry is alive.,fru
Ses01F_script01_1_M009,"You know?  Why shouldn't he walk the nights thinking of him, dreaming of him?   Do we contradict him?  Do we say, we don't have any hope anymore?  That we haven't had any hope for years now?",fru
Ses01F_script01_1_F010,You can't say that to him.,fru
Ses01F_script01_1_M010,We've got to say it to him.,neu
Ses01F_script01_1_F011,Where's the proof?  Do you have any proof?,fru
Ses01F_script01_1_M011,"For God's sake, three years?  Nobody comes back after three years; that's insane.",fru
Ses01F_script01_1_F012,"To you it is, to me it is, but to your father, you can talk yourself until you are blue in the face.  But there is no grave and there is no body, so where are you?",fru
Ses01F_script01_1_M012,"Sit down, Mom.  I want to talk to you.",neu
Ses01F_script01_1_F013,"It's that the trouble is those God damn newspapers.  Every month some new boy comes back and so the next one is going to be Larry, they just--",xxx
Ses01F_script01_1_M013,"All right, all right, all right.  You know why I asked Annie here, right?",fru
Ses01F_script01_1_F014,Why?,fru
Ses01F_script01_1_M014,You know.,neu
Ses01F_script01_1_F015,"Well I got an idea, but what's your story?",neu
Ses01F_script01_1_M015,I'm going to ask her to marry me.,neu
Ses01F_script01_1_F016,"Well that's only your business, Chris.",xxx
Ses01F_script01_1_M016,You know it's not just my business.,neu
Ses01F_script01_1_F017,Well what do you want me to do?  You're old enough to know your own mind.,xxx
Ses01F_script01_1_M017,"So all right then, I'll just go ahead with it?",neu
Ses01F_script01_1_F018,Well you want to make sure that your father is not going to --,xxx
Ses01F_script01_1_M018,Then it's not just my business.,fru
Ses01F_script01_1_F019,I'm just saying.,xxx
